index,xmonth,xtime,yEAC,yEACr,yTSW,yTSWr
0,1,1994-01-01 12:00:00,473,1.0,0,0.0
1,1,1994-01-02 12:00:00,473,1.0,0,0.0
2,1,1994-01-03 12:00:00,473,1.0,0,0.0
3,1,1994-01-04 12:00:00,473,1.0,0,0.0
4,1,1994-01-05 12:00:00,473,1.0,0,0.0
5,1,1994-01-06 12:00:00,459,0.9704016913319239,14,0.02959830866807611
6,1,1994-01-07 12:00:00,467,0.9873150105708245,6,0.012684989429175475
7,1,1994-01-08 12:00:00,320,0.6765327695560254,153,0.32346723044397463
8,1,1994-01-09 12:00:00,277,0.5856236786469344,196,0.4143763213530655
9,1,1994-01-10 12:00:00,349,0.7378435517970402,124,0.26215644820295986
10,1,1994-01-11 12:00:00,473,1.0,0,0.0
11,1,1994-01-12 12:00:00,473,1.0,0,0.0
12,1,1994-01-13 12:00:00,473,1.0,0,0.0
13,1,1994-01-14 12:00:00,473,1.0,0,0.0
14,1,1994-01-15 12:00:00,473,1.0,0,0.0
15,1,1994-01-16 12:00:00,473,1.0,0,0.0
16,1,1994-01-17 12:00:00,473,1.0,0,0.0
17,1,1994-01-18 12:00:00,473,1.0,0,0.0
18,1,1994-01-19 12:00:00,473,1.0,0,0.0
19,1,1994-01-20 12:00:00,473,1.0,0,0.0
20,1,1994-01-21 12:00:00,473,1.0,0,0.0
21,1,1994-01-22 12:00:00,473,1.0,0,0.0
22,1,1994-01-23 12:00:00,473,1.0,0,0.0
23,1,1994-01-24 12:00:00,473,1.0,0,0.0
24,1,1994-01-25 12:00:00,473,1.0,0,0.0
25,1,1994-01-26 12:00:00,473,1.0,0,0.0
26,1,1994-01-27 12:00:00,473,1.0,0,0.0
27,1,1994-01-28 12:00:00,473,1.0,0,0.0
28,1,1994-01-29 12:00:00,473,1.0,0,0.0
29,1,1994-01-30 12:00:00,473,1.0,0,0.0
30,1,1994-01-31 12:00:00,473,1.0,0,0.0
31,2,1994-02-01 12:00:00,473,1.0,0,0.0
32,2,1994-02-02 12:00:00,473,1.0,0,0.0
33,2,1994-02-03 12:00:00,473,1.0,0,0.0
34,2,1994-02-04 12:00:00,473,1.0,0,0.0
35,2,1994-02-05 12:00:00,473,1.0,0,0.0
36,2,1994-02-06 12:00:00,473,1.0,0,0.0
37,2,1994-02-07 12:00:00,473,1.0,0,0.0
38,2,1994-02-08 12:00:00,473,1.0,0,0.0
39,2,1994-02-09 12:00:00,473,1.0,0,0.0
40,2,1994-02-10 12:00:00,473,1.0,0,0.0
