lon,lat,class,datetime,seed,eta_rho,xi_rho,temp,salt
150.8437952079619,-36.062015413242165,EAC,2012-11-12 12:00:00,880735,60,83,19.310487747192383,35.64014434814453
150.8990537282372,-35.654470894803374,EAC,2012-11-12 12:00:00,880735,69,79,19.303424835205078,35.63507843017578
150.94326054445742,-35.258373820331514,EAC,2012-11-12 12:00:00,880735,77,75,18.756629943847656,35.5237922668457
151.16982047758606,-36.062015413242165,EAC,2012-11-12 12:00:00,880735,62,94,19.47646713256836,35.63666915893555
148.18033453069356,-37.94178665470044,BS,2012-11-12 12:00:00,880735,4,23,14.54941463470459,35.71561050415039
148.4897822442351,-37.92435304699625,BS,2012-11-12 12:00:00,880735,6,32,15.212203025817871,35.67870330810547
148.69976462128116,-37.89383428618476,BS,2012-11-12 12:00:00,880735,8,38,15.647076606750488,35.655029296875
148.9871089267126,-37.91999399909014,BS,2012-11-12 12:00:00,880735,9,48,17.194717407226562,35.60898208618164
149.263401528089,-37.86330286805855,BS,2012-11-12 12:00:00,880735,12,56,16.74017906188965,35.62120056152344
149.55627168554796,-37.89819488417511,BS,2012-11-12 12:00:00,880735,13,66,17.794965744018555,35.594940185546875
149.76072821056647,-37.76289627611328,BS,2012-11-12 12:00:00,880735,17,71,17.597829818725586,35.59235382080078
149.9209779193648,-37.63172605671703,BS,2012-11-12 12:00:00,880735,21,75,18.31212615966797,35.622684478759766
150.05912422005298,-37.07828175532566,BS,2012-11-12 12:00:00,880735,34,71,18.861038208007812,35.64309310913086
150.15858955654846,-37.18841646659068,BS,2012-11-12 12:00:00,880735,32,76,18.252185821533203,35.56196212768555
150.31331341331926,-37.29839078839446,BS,2012-11-12 12:00:00,880735,31,83,18.248289108276367,35.55500411987305
150.50671823428272,-37.452085059546334,BS,2012-11-12 12:00:00,880735,28,92,19.395814895629883,35.586891174316406
150.51224408631026,-37.60546417199097,BS,2012-11-12 12:00:00,880735,25,94,19.623239517211914,35.588523864746094
150.50671823428272,-37.6798487485234,BS,2012-11-12 12:00:00,880735,24,95,19.63726043701172,35.59400177001953
149.9209779193648,-37.697340175400555,BS,2012-11-12 12:00:00,880735,20,76,18.363529205322266,35.62437057495117
150.05912422005298,-37.35990628664454,BS,2012-11-12 12:00:00,880735,28,75,18.63859748840332,35.629669189453125
152.14237043443092,-37.97664146523488,BS,2012-11-12 12:00:00,880735,27,149,20.847124099731445,35.62885665893555
151.98212072563263,-37.9679293134079,BS,2012-11-12 12:00:00,880735,27,145,20.71924591064453,35.65361785888672
151.98764657766014,-37.806568094026005,BS,2012-11-12 12:00:00,880735,30,143,20.72209930419922,35.643856048583984
151.90475879724724,-37.70171238750107,BS,2012-11-12 12:00:00,880735,32,140,20.757211685180664,35.63752365112305
152.22525821484385,-38.00712585334492,BS,2012-11-12 12:00:00,880735,27,152,21.018781661987305,35.60710906982422
150.5011923822552,-37.684221991993425,BS,2012-11-12 12:00:00,880735,24,95,19.63726043701172,35.59400177001953
151.3024409262467,-35.29897321276364,EAC,2002-09-29 12:00:00,880735,79,88,18.577831268310547,35.5240364074707
151.52347500734783,-34.692394088661196,EAC,2002-09-29 12:00:00,880735,93,87,18.699207305908203,35.53936004638672
151.8163451648068,-34.692394088661196,EAC,2002-09-29 12:00:00,880735,95,97,19.7995662689209,35.56332778930664
